keyword,volume,cpc,comp,kd,intent,src,m_2025-08,m_2025-09,m_2025-10,m_2025-11,m_2025-12,m_2026-01,m_2026-02,m_2026-03,m_2026-04,m_2026-05,m_2026-06,m_2026-07
br general bluebonnet,6600,1.87,LOW,11,informational,sugg_bluebonnet,6600,6600,6600,5400,8100,6600,6600,6600,6600,8100,8100,8100
bluebonnet flowers,6600,0.16,MEDIUM,,informational,sugg_bluebonnet,4400,5400,6600,5400,5400,6600,6600,12100,12100,8100,5400,4400
flower bluebonnet,6600,0.16,MEDIUM,,informational,sugg_bluebonnet,4400,5400,6600,5400,5400,6600,6600,12100,12100,8100,5400,4400
ennis tx weather,6600,0.94,LOW,,informational,sugg_ennis_tx,5400,3600,5400,6600,5400,12100,5400,8100,14800,8100,6600,5400
weather in ennis tx,6600,0.94,LOW,,informational,sugg_ennis_tx,5400,3600,5400,6600,5400,12100,5400,8100,14800,8100,6600,5400
weather ennis tx,6600,0.94,LOW,,informational,sugg_ennis_tx,5400,3600,5400,6600,5400,12100,5400,8100,14800,8100,6600,5400
3 wheeler polaris slingshot,5400,0.18,LOW,,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
polaris 3 wheel slingshot,5400,0.18,LOW,9,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
polaris slingshot 3 wheel car,5400,0.18,LOW,10,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
polaris slingshot 3 wheeler,5400,0.18,LOW,6,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
three wheeled polaris slingshot,5400,0.18,LOW,5,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
3 wheel polaris slingshot,5400,0.18,LOW,9,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
polaris slingshot 3 wheel,5400,0.18,LOW,9,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
3 wheel car polaris slingshot,5400,0.18,LOW,5,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
3 wheeled polaris slingshot,5400,0.18,LOW,9,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
three wheel polaris slingshot,5400,0.18,LOW,5,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
polaris 3 wheeler slingshot,5400,0.18,LOW,12,transactional,sugg_polaris_slingshot,5400,9900,5400,4400,4400,2900,2900,9900,6600,5400,8100,3600
bluebonnet dodge ram,5400,2.19,HIGH,12,transactional,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet dodge texas,5400,2.19,HIGH,3,navigational,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet palace,5400,1.65,LOW,,navigational,sugg_bluebonnet,6600,5400,8100,6600,6600,4400,4400,4400,5400,6600,5400,5400
bluebonnet chrysler dodge,5400,2.19,HIGH,5,navigational,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet seed,5400,0.9,HIGH,,informational,sugg_bluebonnet,2900,3600,6600,3600,2400,4400,5400,12100,14800,6600,2400,1600
bluebonnet chrysler,5400,2.19,HIGH,5,navigational,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet palace selma tx,5400,1.65,LOW,,navigational,sugg_bluebonnet,6600,5400,8100,6600,6600,4400,4400,4400,5400,6600,5400,5400
bluebonnet seedling,5400,0.9,HIGH,,informational,sugg_bluebonnet,2900,3600,6600,3600,2400,4400,5400,12100,14800,6600,2400,1600
bluebonnet dodge new braunfels texas,5400,2.19,HIGH,,navigational,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet palace selma,5400,1.65,LOW,,navigational,sugg_bluebonnet,6600,5400,8100,6600,6600,4400,4400,4400,5400,6600,5400,5400
bluebonnet dodge new braunfels,5400,2.19,HIGH,,navigational,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet dodge,5400,2.19,HIGH,5,informational,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet dodge in new braunfels,5400,2.19,HIGH,2,navigational,sugg_bluebonnet,6600,5400,5400,5400,6600,6600,5400,6600,5400,5400,4400,5400
bluebonnet curriculum,5400,10.57,LOW,7,informational,sugg_bluebonnet,9900,12100,5400,3600,2900,3600,4400,3600,3600,2900,6600,3600
bluebonnet seeds,5400,0.9,HIGH,,informational,sugg_bluebonnet,2900,3600,6600,3600,2400,4400,5400,12100,14800,6600,2400,1600
walmart ennis tx,5400,0.52,LOW,,navigational,sugg_ennis_tx,4400,4400,4400,5400,6600,5400,4400,5400,5400,5400,5400,5400
ennis tx walmart,5400,0.52,LOW,,navigational,sugg_ennis_tx,4400,4400,4400,5400,6600,5400,4400,5400,5400,5400,5400,5400
polaris slingshot for sale used,4400,0.39,LOW,,transactional,sugg_polaris_slingshot,2900,1900,2900,1600,1300,1600,2900,3600,33100,3600,2900,2400
used polaris slingshot sale,4400,0.39,LOW,,transactional,sugg_polaris_slingshot,2900,1900,2900,1600,1300,1600,2900,3600,33100,3600,2900,2400
polaris slingshot used for sale,4400,0.39,LOW,,transactional,sugg_polaris_slingshot,2900,1900,2900,1600,1300,1600,2900,3600,33100,3600,2900,2400
slingshot polaris for sale used,4400,0.39,LOW,,transactional,sugg_polaris_slingshot,2900,1900,2900,1600,1300,1600,2900,3600,33100,3600,2900,2400
used slingshot polaris for sale,4400,0.39,LOW,,transactional,sugg_polaris_slingshot,2900,1900,2900,1600,1300,1600,2900,3600,33100,3600,2900,2400
used polaris slingshot for sale,4400,0.39,LOW,,transactional,sugg_polaris_slingshot,2900,1900,2900,1600,1300,1600,2900,3600,33100,3600,2900,2400
bluebonnet brunch house,4400,0.31,LOW,,navigational,sugg_bluebonnet,4400,3600,3600,3600,3600,3600,4400,4400,4400,5400,4400,4400
texas bluebonnet seedling,4400,1.41,LOW,,informational,sugg_bluebonnet,1600,2400,1600,1300,720,2400,2400,12100,6600,8100,3600,9900
texas bluebonnet seeds,4400,1.41,LOW,,informational,sugg_bluebonnet,1600,2400,1600,1300,720,2400,2400,12100,6600,8100,3600,9900
bluebonnet bakery,4400,1.23,LOW,,navigational,sugg_bluebonnet,4400,3600,3600,4400,5400,3600,4400,4400,4400,4400,3600,3600
bluebonnet learning,4400,8.66,LOW,2,informational,sugg_bluebonnet,12100,9900,6600,4400,2400,4400,4400,3600,3600,2400,2400,2900
bluebonnet seeds texas,4400,1.41,LOW,,informational,sugg_bluebonnet,1600,2400,1600,1300,720,2400,2400,12100,6600,8100,3600,9900
texas bluebonnet seed,4400,1.41,LOW,,informational,sugg_bluebonnet,1600,2400,1600,1300,720,2400,2400,12100,6600,8100,3600,9900
dr in ennis tx,4400,1.97,LOW,,navigational,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
drive in movie theater ennis tx,4400,1.97,LOW,,transactional,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
drive-in movie ennis tx,4400,1.97,LOW,,navigational,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
drive in movie theatre ennis tx,4400,1.97,LOW,,transactional,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
drive-in movie theater ennis tx,4400,1.97,LOW,,navigational,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
drive in ennis tx,4400,1.97,LOW,,navigational,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
drive in movie ennis tx,4400,1.97,LOW,,transactional,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
ennis tx drive in theater,4400,1.97,LOW,,navigational,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
ennis tx drive in,4400,1.97,LOW,,navigational,sugg_ennis_tx,5400,4400,4400,3600,3600,2400,2900,3600,3600,4400,5400,4400
slingshot #polaris,3600,1.49,LOW,20,transactional,sugg_polaris_slingshot,4400,3600,3600,2400,2400,2400,2900,4400,4400,4400,3600,3600
slingshot polaris,3600,1.49,LOW,12,transactional,sugg_polaris_slingshot,4400,3600,3600,2400,2400,2400,2900,4400,4400,4400,3600,3600
bluebonnet texas,3600,0.27,MEDIUM,8,informational,sugg_bluebonnet,2400,2400,2400,1900,1900,2900,3600,9900,6600,4400,2400,1600
bluebonnet detention center,3600,13.21,LOW,,navigational,sugg_bluebonnet,3600,4400,4400,3600,4400,4400,3600,3600,3600,2900,2900,3600
wyndham bluebonnet orlando,3600,1.35,MEDIUM,26,navigational,sugg_bluebonnet,2900,2900,3600,3600,3600,5400,4400,4400,4400,2900,2900,2900
bluebonnet fields,3600,0.28,LOW,8,informational,sugg_bluebonnet,1900,1900,1600,1600,1900,2400,2400,9900,12100,2900,1900,1900
bluebonnet field,3600,0.28,LOW,7,informational,sugg_bluebonnet,1900,1900,1600,1600,1900,2400,2400,9900,12100,2900,1900,1900
slingshot motorcycle polaris,2900,1.27,LOW,6,transactional,sugg_polaris_slingshot,14800,9900,1000,1600,880,720,1000,1300,1300,2400,2400,590
motorcycle polaris slingshot,2900,1.27,LOW,,transactional,sugg_polaris_slingshot,14800,9900,1000,1600,880,720,1000,1300,1300,2400,2400,590
polaris motorcycle slingshot,2900,1.27,LOW,19,transactional,sugg_polaris_slingshot,14800,9900,1000,1600,880,720,1000,1300,1300,2400,2400,590
polaris slingshot motorcycle,2900,1.27,LOW,21,transactional,sugg_polaris_slingshot,14800,9900,1000,1600,880,720,1000,1300,1300,2400,2400,590
polaris slingshot bike,2900,1.27,LOW,21,transactional,sugg_polaris_slingshot,14800,9900,1000,1600,880,720,1000,1300,1300,2400,2400,590
pictures of the bluebonnet,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet preserve,2900,1.91,LOW,,informational,sugg_bluebonnet,3600,2900,2900,2900,2900,2900,2400,2900,2900,2900,3600,2900
bluebonnet festivals,2900,,LOW,12,informational,sugg_bluebonnet,590,480,720,480,590,880,1600,8100,18100,1000,1000,590
texas bluebonnet festival,2900,,LOW,13,informational,sugg_bluebonnet,590,480,720,480,590,880,1600,8100,18100,1000,1000,590
picture of a bluebonnet,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet festival texas,2900,,LOW,13,informational,sugg_bluebonnet,590,480,720,480,590,880,1600,8100,18100,1000,1000,590
images of bluebonnet,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet imaging,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
pictures of bluebonnet,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet festival of texas,2900,,LOW,11,informational,sugg_bluebonnet,590,480,720,480,590,880,1600,8100,18100,1000,1000,590
bluebonnet bbq,2900,0.5,LOW,,navigational,sugg_bluebonnet,3600,2900,2900,2900,2900,2400,2400,3600,3600,3600,2900,2400
picture of the bluebonnet,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet festival in texas,2900,,LOW,12,informational,sugg_bluebonnet,590,480,720,480,590,880,1600,8100,18100,1000,1000,590
bluebonnet images,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
pictures of a bluebonnet,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
brec's bluebonnet swamp nature center,2900,0.98,LOW,9,navigational,sugg_bluebonnet,1900,1900,2900,2900,2400,2400,2900,3600,2900,2400,2400,2400
bluebonnet image,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet pics,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
picture of bluebonnet,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet photo,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet barbecue,2900,0.5,LOW,,informational,sugg_bluebonnet,3600,2900,2900,2900,2900,2400,2400,3600,3600,3600,2900,2400
bluebonnet photos,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet festival,2900,,LOW,13,informational,sugg_bluebonnet,590,480,720,480,590,880,1600,8100,18100,1000,1000,590
bluebonnet pictures,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet picture,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
bluebonnet festivals in texas,2900,,LOW,13,informational,sugg_bluebonnet,590,480,720,480,590,880,1600,8100,18100,1000,1000,590
bluebonnet pic,2900,0.4,HIGH,,informational,sugg_bluebonnet,2400,1900,1900,1900,1600,1900,2400,5400,4400,2900,1900,1900
restaurant ennis tx,2900,0.41,LOW,,navigational,sugg_ennis_tx,3600,2900,3600,2900,2900,2400,2900,3600,4400,2900,2900,2900
restaurants in ennis tx,2900,0.41,LOW,,commercial,sugg_ennis_tx,3600,2900,3600,2900,2900,2400,2900,3600,4400,2900,2900,2900
jobs ennis tx,2900,0.67,LOW,6,informational,sugg_ennis_tx,2900,2900,2900,2400,2400,2900,2900,2900,2900,2900,2900,2900
ennis ford inc ennis tx,2900,2.06,HIGH,7,navigational,sugg_ennis_tx,2900,2900,3600,2900,3600,2900,2900,2900,2900,2900,2900,2900
ennis tx jobs,2900,0.67,LOW,,informational,sugg_ennis_tx,2900,2900,2900,2400,2400,2900,2900,2900,2900,2900,2900,2900
h e b ennis tx,2900,2.28,LOW,12,navigational,sugg_ennis_tx,2900,2900,2400,2900,3600,2900,2400,2400,2900,2900,2400,2400
ennis ford tx,2900,2.06,HIGH,7,navigational,sugg_ennis_tx,2900,2900,3600,2900,3600,2900,2900,2900,2900,2900,2900,2900
h-e-b ennis tx,2900,2.28,LOW,18,navigational,sugg_ennis_tx,2900,2900,2400,2900,3600,2900,2400,2400,2900,2900,2400,2400
heb ennis tx,2900,2.28,LOW,18,navigational,sugg_ennis_tx,2900,2900,2400,2900,3600,2900,2400,2400,2900,2900,2400,2400
ennis ford ennis tx,2900,2.06,HIGH,7,navigational,sugg_ennis_tx,2900,2900,3600,2900,3600,2900,2900,2900,2900,2900,2900,2900
ennis tx restaurants,2900,0.41,LOW,,commercial,sugg_ennis_tx,3600,2900,3600,2900,2900,2400,2900,3600,4400,2900,2900,2900
city of ennis tx jobs,2900,0.67,LOW,5,navigational,sugg_ennis_tx,2900,2900,2900,2400,2400,2900,2900,2900,2900,2900,2900,2900
jobs in ennis tx,2900,0.67,LOW,6,informational,sugg_ennis_tx,2900,2900,2900,2400,2400,2900,2900,2900,2900,2900,2900,2900
restaurants ennis tx,2900,0.41,LOW,,commercial,sugg_ennis_tx,3600,2900,3600,2900,2900,2400,2900,3600,4400,2900,2900,2900
bluebonnet trail ennis,2400,5.85,LOW,12,navigational,sugg_bluebonnet,390,320,320,390,260,480,1300,6600,12100,1900,880,590
the waters at bluebonnet,2400,0.97,LOW,,informational,sugg_bluebonnet,2400,1600,1600,1600,1600,2400,2400,2400,2900,2900,2900,3600
bluebonnet massage spa dallas,2400,2.73,LOW,1,navigational,sugg_bluebonnet,1900,2400,1900,1900,2400,2400,2900,2900,2900,2900,2400,2900
bluebonnet jeep,2400,2.33,HIGH,18,transactional,sugg_bluebonnet,3600,2900,2900,2900,2900,2900,2900,2400,1300,1300,1000,1000
bluebonnet massage irving,2400,3.74,LOW,8,commercial,sugg_bluebonnet,2900,2900,2400,2400,2400,2400,2400,2400,2400,2400,2900,2900
bluebonnet swamp baton rouge,2400,0.49,LOW,9,informational,sugg_bluebonnet,1900,1900,2400,2400,1900,1900,2400,2900,2400,1900,1900,1900
bluebonnet jeep dealership,2400,2.33,HIGH,,navigational,sugg_bluebonnet,3600,2900,2900,2900,2900,2900,2900,2400,1300,1300,1000,1000
bluebonnet feeds,2400,1.23,HIGH,2,informational,sugg_bluebonnet,2400,2400,2400,2400,1900,2400,2400,2400,2400,1900,1900,1900
bluebonnet trails ennis,2400,5.85,LOW,11,navigational,sugg_bluebonnet,390,320,320,390,260,480,1300,6600,12100,1900,880,590
ennis bluebonnet trail,2400,5.85,LOW,10,navigational,sugg_bluebonnet,390,320,320,390,260,480,1300,6600,12100,1900,880,590
ennis bluebonnet trails an april driving route,2400,0.13,LOW,11,navigational,sugg_bluebonnet,390,390,480,390,320,390,720,5400,18100,1300,480,390
bluebonnet swamp,2400,0.49,LOW,9,informational,sugg_bluebonnet,1900,1900,2400,2400,1900,1900,2400,2900,2400,1900,1900,1900
bluebonnet park,2400,1.02,LOW,13,navigational,sugg_bluebonnet,1300,2400,1600,1900,880,720,1300,4400,8100,2400,2400,1300
bluebonnet swamp nature center,2400,0.49,LOW,9,navigational,sugg_bluebonnet,1900,1900,2400,2400,1900,1900,2400,2900,2400,1900,1900,1900
bluebonnet learning portal,2400,9.08,LOW,1,navigational,sugg_bluebonnet,3600,2900,2900,1900,1600,2400,2400,1900,1900,1300,1600,1900
jeep bluebonnet,2400,2.33,HIGH,18,transactional,sugg_bluebonnet,3600,2900,2900,2900,2900,2900,2900,2400,1300,1300,1000,1000
bluebonnet diner,2400,0.51,LOW,23,navigational,sugg_bluebonnet,2900,2400,2900,2900,2400,2400,2400,2900,2400,2900,2400,2900
bluebonnet hills funeral home & memorial park,2400,1.65,LOW,1,navigational,sugg_bluebonnet,2400,1900,1900,1900,2400,2400,2900,2900,2400,3600,2900,1900
bluebonnet massage irving tx,2400,3.74,LOW,8,commercial,sugg_bluebonnet,2900,2900,2400,2400,2400,2400,2400,2400,2400,2400,2900,2900
bluebonnet feed,2400,1.23,HIGH,2,informational,sugg_bluebonnet,2400,2400,2400,2400,1900,2400,2400,2400,2400,1900,1900,1900
is it illegal to pick a bluebonnet in texas,2400,,LOW,,informational,sugg_bluebonnet,720,590,480,390,320,390,590,12100,8100,2400,1300,720
bluebonnet swamp nature center baton rouge,2400,0.49,LOW,9,navigational,sugg_bluebonnet,1900,1900,2400,2400,1900,1900,2400,2900,2400,1900,1900,1900
ennis bluebonnet trails,2400,5.85,LOW,11,informational,sugg_bluebonnet,390,320,320,390,260,480,1300,6600,12100,1900,880,590
houses for sale ennis tx,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
house for sale ennis tx,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
fbm property ennis tx,2400,5.42,LOW,,navigational,sugg_ennis_tx,2900,2400,2400,1900,1900,2400,2400,2400,2400,2400,2400,2400
ennis regional hospital ennis tx,2400,5.23,LOW,,navigational,sugg_ennis_tx,2400,2400,2400,1900,2400,2400,2900,2900,2400,2400,2400,2400
homes in ennis tx for sale,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
ennis tx homes for sale,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
house for sale in ennis tx,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
ennis regional medical center ennis tx,2400,5.23,LOW,,navigational,sugg_ennis_tx,2400,2400,2400,1900,2400,2400,2900,2900,2400,2400,2400,2400
fbm property management ennis tx,2400,5.42,LOW,,navigational,sugg_ennis_tx,2900,2400,2400,1900,1900,2400,2400,2400,2400,2400,2400,2400
homes for sale ennis tx,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
fbm properties ennis tx,2400,5.42,LOW,,navigational,sugg_ennis_tx,2900,2400,2400,1900,1900,2400,2400,2400,2400,2400,2400,2400
houses for sale in ennis tx,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
home for sale ennis tx,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
homes for sale in ennis tx,2400,0.99,MEDIUM,,transactional,sugg_ennis_tx,2900,2400,2400,1900,2400,2900,2900,2900,2900,2900,2400,2400
polaris slingshot rental,1900,1.82,LOW,11,transactional,sugg_slingshot_rental,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
slingshot polaris rental,1900,1.82,LOW,19,transactional,sugg_slingshot_rental,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
slingshot miami rental,1900,1.93,HIGH,4,transactional,sugg_slingshot_rental,1600,1300,1600,1600,1600,1900,1900,2400,1900,1900,1600,1900
slingshot rental miami,1900,1.93,HIGH,10,transactional,sugg_slingshot_rental,1600,1300,1600,1600,1600,1900,1900,2400,1900,1900,1600,1900
miami slingshot rental,1900,1.93,HIGH,4,transactional,sugg_slingshot_rental,1600,1300,1600,1600,1600,1900,1900,2400,1900,1900,1600,1900
rental polaris slingshot,1900,1.82,LOW,11,transactional,sugg_slingshot_rental,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
slingshot polaris for rent,1900,1.82,LOW,22,transactional,sugg_polaris_slingshot,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
rent a polaris slingshot,1900,1.82,LOW,22,transactional,sugg_polaris_slingshot,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
renting a polaris slingshot,1900,1.82,LOW,22,transactional,sugg_polaris_slingshot,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
polaris slingshot rentals,1900,1.82,LOW,11,commercial,sugg_polaris_slingshot,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
renting polaris slingshot,1900,1.82,LOW,28,transactional,sugg_polaris_slingshot,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
polaris slingshot for rent,1900,1.82,LOW,22,transactional,sugg_polaris_slingshot,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
rent polaris slingshot,1900,1.82,LOW,22,transactional,sugg_polaris_slingshot,2900,1900,1300,880,1600,720,1000,2400,2400,2900,2900,2400
bluebonnet dermatology,1900,2.9,LOW,,informational,sugg_bluebonnet,1600,1900,1600,1600,1900,1900,1600,1600,1900,1600,1900,1900
bluebonnet vet south lamar,1900,10.52,LOW,,navigational,sugg_bluebonnet,1900,1900,1900,1600,1600,1900,1600,1900,1900,1900,1900,1900
bend on bluebonnet,1900,1.76,LOW,,informational,sugg_bluebonnet,2400,1600,1600,1900,1900,2400,1900,1600,1900,1900,1900,1900
bluebonnet festival ennis tx,1900,,LOW,10,informational,sugg_bluebonnet,110,110,170,110,210,390,1000,6600,14800,590,260,90
bluebonnet festival ennis texas,1900,,LOW,9,navigational,sugg_bluebonnet,110,110,170,110,210,390,1000,6600,14800,590,260,90
bluebonnet learning k-5 math,1900,6.44,LOW,,informational,sugg_bluebonnet,2900,4400,3600,2400,1300,1900,1600,1000,720,390,260,210
bluebonnet animal hospital austin,1900,10.52,LOW,,navigational,sugg_bluebonnet,1900,1900,1900,1600,1600,1900,1600,1900,1900,1900,1900,1900
ennis bluebonnet festival,1900,,LOW,7,informational,sugg_bluebonnet,110,110,170,110,210,390,1000,6600,14800,590,260,90
bluebonnet vet austin,1900,10.52,LOW,,navigational,sugg_bluebonnet,1900,1900,1900,1600,1600,1900,1600,1900,1900,1900,1900,1900
bluebonnet festival ennis,1900,,LOW,7,informational,sugg_bluebonnet,110,110,170,110,210,390,1000,6600,14800,590,260,90
bluebonnet learning k--5 math,1900,6.44,LOW,,informational,sugg_bluebonnet,2900,4400,3600,2400,1300,1900,1600,1000,720,390,260,210
ennis texas bluebonnet festival,1900,,LOW,9,informational,sugg_bluebonnet,110,110,170,110,210,390,1000,6600,14800,590,260,90
bluebonnet tattoo,1900,1.43,LOW,,informational,sugg_bluebonnet,2400,1900,1900,1600,1300,1600,1900,3600,2400,2400,1900,1900
bluebonnet vet clinic austin,1900,10.52,LOW,,navigational,sugg_bluebonnet,1900,1900,1900,1600,1600,1900,1600,1900,1900,1900,1900,1900
bluebonnet tattoos,1900,1.43,LOW,,informational,sugg_bluebonnet,2400,1900,1900,1600,1300,1600,1900,3600,2400,2400,1900,1900
bluebonnet learning k 5 math,1900,6.44,LOW,,informational,sugg_bluebonnet,2900,4400,3600,2400,1300,1900,1600,1000,720,390,260,210
ennis tx bluebonnet festival,1900,,LOW,9,navigational,sugg_bluebonnet,110,110,170,110,210,390,1000,6600,14800,590,260,90
bluebonnet festival in ennis,1900,,LOW,10,informational,sugg_bluebonnet,110,110,170,110,210,390,1000,6600,14800,590,260,90
bluebonnet animal hospital,1900,10.52,LOW,,navigational,sugg_bluebonnet,1900,1900,1900,1600,1600,1900,1600,1900,1900,1900,1900,1900
hotels ennis tx,1900,3.7,HIGH,,navigational,sugg_ennis_tx,1600,2400,1900,1600,1000,1900,1900,4400,1900,1600,1900,1600
hotels in ennis tx,1900,3.7,HIGH,,commercial,sugg_ennis_tx,1600,2400,1900,1600,1000,1900,1900,4400,1900,1600,1900,1600
ennis tx hotels,1900,3.7,HIGH,,navigational,sugg_ennis_tx,1600,2400,1900,1600,1000,1900,1900,4400,1900,1600,1900,1600
hotel ennis tx,1900,3.7,HIGH,,navigational,sugg_ennis_tx,1600,2400,1900,1600,1000,1900,1900,4400,1900,1600,1900,1600
ennis hotels tx,1900,3.7,HIGH,,navigational,sugg_ennis_tx,1600,2400,1900,1600,1000,1900,1900,4400,1900,1600,1900,1600
slingshot for rental,1600,1.29,MEDIUM,28,transactional,sugg_slingshot_rental,2400,1600,1000,590,480,590,720,2400,2400,2900,3600,2900
slingshot car rental,1600,1.23,MEDIUM,27,transactional,sugg_slingshot_rental,2400,1600,1000,590,590,590,880,1900,1900,2400,2400,1900
bluebonnet meat market,1600,1.37,LOW,,navigational,sugg_bluebonnet,2900,1900,1900,1900,1600,1000,1000,1600,1300,1300,1000,1000
bluebonnet beer,1600,0.03,LOW,,informational,sugg_bluebonnet,1900,1600,1900,1300,1300,1600,1600,2400,1900,1900,1900,1900
bluebonnet brewery,1600,0.03,LOW,,navigational,sugg_bluebonnet,1900,1600,1900,1300,1300,1600,1600,2400,1900,1900,1900,1900
